=== Job started: Thu May 28 17:06:47 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-28 17:07:26,966] A new study created in memory with name: rgb
[I 2026-05-28 17:10:31,923] Trial 5 finished with value: 0.822091239089216 and parameters: {'n_conv_blocks': 2, 'base_channels': 16, 'kernels': 'single_5', 'n_fc_layers': 1, 'fc_hidden': 128, 'dropout': 0.25334330022317814, 'activation': 'gelu', 'lr': 0.00024638173991559586}. Best is trial 4 with value: 0.8861838574071289.
Epoch 1, Val loss: 2.1219, Val F1: 0.3413
[I 2026-05-28 17:10:34,069] Trial 6 pruned. 
Epoch 1, Val loss: 1.3741, Val F1: 0.4645
[I 2026-05-28 17:10:36,186] Trial 7 pruned. 
Epoch 1, Val loss: 1.5506, Val F1: 0.4472
[I 2026-05-28 17:10:38,235] Trial 8 pruned. 
Epoch 1, Val loss: 2.2941, Val F1: 0.0200
[I 2026-05-28 17:10:40,291] Trial 9 pruned. 
Epoch 1, Val loss: 0.6532, Val F1: 0.7541
Epoch 2, Val loss: 0.5330, Val F1: 0.7997
Epoch 3, Val loss: 0.5112, Val F1: 0.8177
Epoch 4, Val loss: 0.4112, Val F1: 0.8546
Epoch 5, Val loss: 0.4756, Val F1: 0.8214
Epoch 6, Val loss: 0.3150, Val F1: 0.8887
Epoch 7, Val loss: 0.2732, Val F1: 0.8989
Epoch 8, Val loss: 0.2601, Val F1: 0.9028
Epoch 9, Val loss: 0.2480, Val F1: 0.9152
Epoch 10, Val loss: 0.3821, Val F1: 0.8709
Epoch 11, Val loss: 0.2560, Val F1: 0.9085
Epoch 12, Val loss: 0.3360, Val F1: 0.8874
Epoch 13, Val loss: 0.2059, Val F1: 0.9277
Epoch 14, Val loss: 0.2114, Val F1: 0.9282
Epoch 15, Val loss: 0.2407, Val F1: 0.9168
Epoch 16, Val loss: 0.3325, Val F1: 0.8935
Epoch 17, Val loss: 0.2304, Val F1: 0.9192
Epoch 18, Val loss: 0.2580, Val F1: 0.9143
Epoch 19, Val loss: 0.2334, Val F1: 0.9260
[I 2026-05-28 17:12:43,912] Trial 10 finished with value: 0.9282491816241611 and parameters: {'n_conv_blocks': 4, 'base_channels': 128, 'kernels': 'multi_3_5_7_9', 'n_fc_layers': 1, 'fc_hidden': 512, 'dropout': 0.5837364926741444, 'activation': 'silu', 'lr': 0.00014772131765528507}. Best is trial 10 with value: 0.9282491816241611.
Epoch 1, Val loss: 0.6024, Val F1: 0.7712
Epoch 2, Val loss: 0.6225, Val F1: 0.7817
Epoch 3, Val loss: 0.5837, Val F1: 0.7856
Epoch 4, Val loss: 0.4252, Val F1: 0.8420
Epoch 5, Val loss: 0.3495, Val F1: 0.8705
Epoch 6, Val loss: 0.4503, Val F1: 0.8484
Epoch 7, Val loss: 0.3756, Val F1: 0.8665
Epoch 8, Val loss: 0.4617, Val F1: 0.8389
Epoch 9, Val loss: 0.2885, Val F1: 0.9061
Epoch 10, Val loss: 0.2569, Val F1: 0.9122
Epoch 11, Val loss: 0.4175, Val F1: 0.8583
Epoch 12, Val loss: 0.3088, Val F1: 0.9022
Epoch 13, Val loss: 0.2251, Val F1: 0.9214
Epoch 14, Val loss: 0.2330, Val F1: 0.9215
Epoch 15, Val loss: 0.2412, Val F1: 0.9191
Epoch 16, Val loss: 0.2919, Val F1: 0.9009
Epoch 17, Val loss: 0.2187, Val F1: 0.9287
Epoch 18, Val loss: 0.2550, Val F1: 0.9168
Epoch 19, Val loss: 0.1912, Val F1: 0.9390
Epoch 20, Val loss: 0.9059, Val F1: 0.7819
Epoch 21, Val loss: 0.3720, Val F1: 0.9034
Epoch 22, Val loss: 0.1799, Val F1: 0.9409
Epoch 23, Val loss: 0.1841, Val F1: 0.9424
Epoch 24, Val loss: 0.5051, Val F1: 0.8647
Epoch 25, Val loss: 0.2495, Val F1: 0.9224
Epoch 26, Val loss: 0.2110, Val F1: 0.9386
Epoch 27, Val loss: 0.2137, Val F1: 0.9363
Epoch 28, Val loss: 0.2564, Val F1: 0.9295
[I 2026-05-28 17:15:49,221] Trial 11 finished with value: 0.9424147377368609 and parameters: {'n_conv_blocks': 4, 'base_channels': 128, 'kernels': 'multi_3_5_7_9', 'n_fc_layers': 1, 'fc_hidden': 512, 'dropout': 0.5595493983512982, 'activation': 'silu', 'lr': 0.00010139607491589571}. Best is trial 11 with value: 0.9424147377368609.
Epoch 1, Val loss: 0.7551, Val F1: 0.7025
Epoch 2, Val loss: 0.6164, Val F1: 0.7752
Epoch 3, Val loss: 0.5282, Val F1: 0.7983
Epoch 4, Val loss: 0.5583, Val F1: 0.8052
Epoch 5, Val loss: 0.6298, Val F1: 0.7795
Epoch 6, Val loss: 0.3773, Val F1: 0.8735
Epoch 7, Val loss: 0.3195, Val F1: 0.8870
Epoch 8, Val loss: 0.2625, Val F1: 0.8998
Epoch 9, Val loss: 0.4895, Val F1: 0.8453
Epoch 10, Val loss: 0.3996, Val F1: 0.8581
Epoch 11, Val loss: 0.2341, Val F1: 0.9201
Epoch 12, Val loss: 0.3071, Val F1: 0.9008
Epoch 13, Val loss: 0.2124, Val F1: 0.9320
Epoch 14, Val loss: 0.1973, Val F1: 0.9351
Epoch 15, Val loss: 0.5289, Val F1: 0.8444
Epoch 16, Val loss: 0.1811, Val F1: 0.9374
Epoch 17, Val loss: 0.3242, Val F1: 0.8960
Epoch 18, Val loss: 0.5503, Val F1: 0.8498
