=== Job started: Sun Jun  7 22:18:08 CEST 2026 ===
Node:       rtx6000gpu2
Image type: ms
N trials:   100
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-06-07 22:18:14,200] A new study created in memory with name: ms
[I 2026-06-07 22:21:49,598] Trial 3 finished with value: 0.9440118798925481 and parameters: {'n_conv_blocks': 5, 'base_channels': 64, 'kernels_block_0': 'multi_3_5', 'kernels_block_1': 'multi_3_5_7_9', 'kernels_block_2': 'single_5', 'kernels_block_3': 'multi_3_5', 'kernels_block_4': 'multi_3_5_7_9', 'n_fc_layers': 2, 'fc_hidden': 2048, 'dropout': 0.41322072067292526, 'activation': 'gelu', 'lr': 0.001714525899421766}. Best is trial 1 with value: 0.9599232681444235.
Epoch 1, Val loss: 1.3313, Val F1: 0.2719
Epoch 2, Val loss: 0.8901, Val F1: 0.6315
Epoch 3, Val loss: 0.7739, Val F1: 0.6566
Epoch 4, Val loss: 0.6738, Val F1: 0.6760
Epoch 5, Val loss: 0.6073, Val F1: 0.7530
Epoch 6, Val loss: 0.5017, Val F1: 0.7837
Epoch 7, Val loss: 0.4579, Val F1: 0.8322
Epoch 8, Val loss: 0.3234, Val F1: 0.9062
Epoch 9, Val loss: 0.3052, Val F1: 0.9146
Epoch 10, Val loss: 0.2547, Val F1: 0.9331
Epoch 11, Val loss: 0.3476, Val F1: 0.9057
Epoch 12, Val loss: 0.2220, Val F1: 0.9405
Epoch 13, Val loss: 0.2601, Val F1: 0.9279
Epoch 14, Val loss: 0.2294, Val F1: 0.9391
Epoch 15, Val loss: 0.2086, Val F1: 0.9512
Epoch 16, Val loss: 0.2208, Val F1: 0.9456
Epoch 17, Val loss: 0.2066, Val F1: 0.9532
Epoch 18, Val loss: 0.1527, Val F1: 0.9607
Epoch 19, Val loss: 0.1801, Val F1: 0.9502
Epoch 20, Val loss: 0.1580, Val F1: 0.9573
Epoch 21, Val loss: 0.1602, Val F1: 0.9540
Epoch 22, Val loss: 0.1773, Val F1: 0.9491
Epoch 23, Val loss: 0.1683, Val F1: 0.9551
[I 2026-06-07 22:22:59,503] Trial 4 finished with value: 0.9606539522880088 and parameters: {'n_conv_blocks': 5, 'base_channels': 32, 'kernels_block_0': 'single_5', 'kernels_block_1': 'multi_3_5', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'single_5', 'kernels_block_4': 'single_3', 'n_fc_layers': 8, 'fc_hidden': 512, 'dropout': 0.47166706953348286, 'activation': 'relu', 'lr': 0.0003255564119681836}. Best is trial 4 with value: 0.9606539522880088.
Epoch 1, Val loss: 1.8432, Val F1: 0.2329
[I 2026-06-07 22:23:02,758] Trial 5 pruned. 
Epoch 1, Val loss: 2.0399, Val F1: 0.2131
[I 2026-06-07 22:23:06,626] Trial 6 pruned. 
Epoch 1, Val loss: 0.7694, Val F1: 0.7437
Epoch 2, Val loss: 0.3857, Val F1: 0.8706
Epoch 3, Val loss: 0.3988, Val F1: 0.8708
Epoch 4, Val loss: 0.4122, Val F1: 0.8654
[I 2026-06-07 22:23:18,672] Trial 7 pruned. 
Epoch 1, Val loss: 1.3583, Val F1: 0.4259
[I 2026-06-07 22:23:21,787] Trial 8 pruned. 
Epoch 1, Val loss: 2.3021, Val F1: 0.0200
[I 2026-06-07 22:23:24,795] Trial 9 pruned. 
Epoch 1, Val loss: 1.4045, Val F1: 0.3389
[I 2026-06-07 22:23:27,801] Trial 10 pruned. 
Epoch 1, Val loss: 0.7776, Val F1: 0.6766
Epoch 2, Val loss: 0.3992, Val F1: 0.8706
Epoch 3, Val loss: 0.3489, Val F1: 0.8960
Epoch 4, Val loss: 0.2622, Val F1: 0.9173
Epoch 5, Val loss: 0.2154, Val F1: 0.9349
Epoch 6, Val loss: 0.2517, Val F1: 0.9254
Epoch 7, Val loss: 0.2357, Val F1: 0.9271
Epoch 8, Val loss: 0.1798, Val F1: 0.9440
Epoch 9, Val loss: 0.1939, Val F1: 0.9399
Epoch 10, Val loss: 0.1565, Val F1: 0.9492
Epoch 11, Val loss: 0.2183, Val F1: 0.9359
Epoch 12, Val loss: 0.1496, Val F1: 0.9495
Epoch 13, Val loss: 0.1460, Val F1: 0.9559
Epoch 14, Val loss: 0.1391, Val F1: 0.9566
Epoch 15, Val loss: 0.2150, Val F1: 0.9367
Epoch 16, Val loss: 0.1332, Val F1: 0.9592
Epoch 17, Val loss: 0.2549, Val F1: 0.9278
Epoch 18, Val loss: 0.1513, Val F1: 0.9518
Epoch 19, Val loss: 0.1456, Val F1: 0.9593
Epoch 20, Val loss: 0.1300, Val F1: 0.9610
Epoch 21, Val loss: 0.1557, Val F1: 0.9570
Epoch 22, Val loss: 0.1209, Val F1: 0.9669
Epoch 23, Val loss: 0.1922, Val F1: 0.9477
Epoch 24, Val loss: 0.1422, Val F1: 0.9564
Epoch 25, Val loss: 0.0934, Val F1: 0.9724
Epoch 26, Val loss: 0.1264, Val F1: 0.9632
Epoch 27, Val loss: 0.1870, Val F1: 0.9497
Epoch 28, Val loss: 0.1264, Val F1: 0.9649
Epoch 29, Val loss: 0.1545, Val F1: 0.9599
Epoch 30, Val loss: 0.1360, Val F1: 0.9608
[I 2026-06-07 22:25:00,841] Trial 11 finished with value: 0.9724024050639436 and parameters: {'n_conv_blocks': 5, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_5', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'single_3', 'kernels_block_4': 'single_5', 'n_fc_layers': 6, 'fc_hidden': 512, 'dropout': 0.31462705995600426, 'activation': 'silu', 'lr': 0.0002765745371109243}. Best is trial 11 with value: 0.9724024050639436.
Epoch 1, Val loss: 0.6593, Val F1: 0.7401
Epoch 2, Val loss: 0.4078, Val F1: 0.8733
Epoch 3, Val loss: 0.3341, Val F1: 0.8913
Epoch 4, Val loss: 0.3476, Val F1: 0.8914
Epoch 5, Val loss: 0.2580, Val F1: 0.9205
Epoch 6, Val loss: 0.1918, Val F1: 0.9463
Epoch 7, Val loss: 0.2029, Val F1: 0.9436
Epoch 8, Val loss: 0.2160, Val F1: 0.9340
Epoch 9, Val loss: 0.1960, Val F1: 0.9414
Epoch 10, Val loss: 0.1583, Val F1: 0.9501
Epoch 11, Val loss: 0.1522, Val F1: 0.9540
Epoch 12, Val loss: 0.1492, Val F1: 0.9579
Epoch 13, Val loss: 0.1238, Val F1: 0.9656
Epoch 14, Val loss: 0.1212, Val F1: 0.9638
Epoch 15, Val loss: 0.1389, Val F1: 0.9601
Epoch 16, Val loss: 0.1377, Val F1: 0.9605
Epoch 17, Val loss: 0.1541, Val F1: 0.9569
Epoch 18, Val loss: 0.1437, Val F1: 0.9588
[I 2026-06-07 22:25:57,465] Trial 12 finished with value: 0.9655829845371182 and parameters: {'n_conv_blocks': 5, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_5', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'single_3', 'kernels_block_4': 'single_5', 'n_fc_layers': 6, 'fc_hidden': 512, 'dropout': 0.345579302785144, 'activation': 'silu', 'lr': 0.00028049109589380506}. Best is trial 11 with value: 0.9724024050639436.
Epoch 1, Val loss: 1.2245, Val F1: 0.4466
[I 2026-06-07 22:26:00,608] Trial 13 pruned. 
Epoch 1, Val loss: 0.7580, Val F1: 0.6918
Epoch 2, Val loss: 0.3770, Val F1: 0.8835
Epoch 3, Val loss: 0.3032, Val F1: 0.9031
Epoch 4, Val loss: 0.2896, Val F1: 0.9056
Epoch 5, Val loss: 0.2370, Val F1: 0.9282
Epoch 6, Val loss: 0.2431, Val F1: 0.9219
Epoch 7, Val loss: 0.1710, Val F1: 0.9450
Epoch 8, Val loss: 0.2106, Val F1: 0.9319
Epoch 9, Val loss: 0.2331, Val F1: 0.9265
Epoch 10, Val loss: 0.1694, Val F1: 0.9476
Epoch 11, Val loss: 0.2568, Val F1: 0.9224
Epoch 12, Val loss: 0.1436, Val F1: 0.9587
Epoch 13, Val loss: 0.1479, Val F1: 0.9565
Epoch 14, Val loss: 0.1285, Val F1: 0.9644
Epoch 15, Val loss: 0.1728, Val F1: 0.9494
Epoch 16, Val loss: 0.1875, Val F1: 0.9409
Epoch 17, Val loss: 0.1366, Val F1: 0.9574
Epoch 18, Val loss: 0.1587, Val F1: 0.9497
Epoch 19, Val loss: 0.1664, Val F1: 0.9526
[I 2026-06-07 22:26:59,121] Trial 14 finished with value: 0.9644260217730019 and parameters: {'n_conv_blocks': 5, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_5', 'kernels_block_2': 'multi_3_7', 'kernels_block_3': 'single_3', 'kernels_block_4': 'single_5', 'n_fc_layers': 5, 'fc_hidden': 512, 'dropout': 0.3439643994799622, 'activation': 'silu', 'lr': 0.0005450733535680804}. Best is trial 11 with value: 0.9724024050639436.
Epoch 1, Val loss: 0.6141, Val F1: 0.7978
Epoch 2, Val loss: 0.3847, Val F1: 0.8809
Epoch 3, Val loss: 0.2886, Val F1: 0.9090
Epoch 4, Val loss: 0.3227, Val F1: 0.8990
Epoch 5, Val loss: 0.2080, Val F1: 0.9365
Epoch 6, Val loss: 0.1896, Val F1: 0.9484
Epoch 7, Val loss: 0.1724, Val F1: 0.9465
Epoch 8, Val loss: 0.1843, Val F1: 0.9464
Epoch 9, Val loss: 0.1517, Val F1: 0.9532
Epoch 10, Val loss: 0.1668, Val F1: 0.9433
Epoch 11, Val loss: 0.1720, Val F1: 0.9511
Epoch 12, Val loss: 0.1480, Val F1: 0.9536
Epoch 13, Val loss: 0.1713, Val F1: 0.9460
Epoch 14, Val loss: 0.1533, Val F1: 0.9583
Epoch 15, Val loss: 0.1950, Val F1: 0.9484
Epoch 16, Val loss: 0.1658, Val F1: 0.9479
Epoch 17, Val loss: 0.2021, Val F1: 0.9423
Epoch 18, Val loss: 0.1532, Val F1: 0.9552
Epoch 19, Val loss: 0.1212, Val F1: 0.9656
Epoch 20, Val loss: 0.1161, Val F1: 0.9686
Epoch 21, Val loss: 0.1218, Val F1: 0.9649
Epoch 22, Val loss: 0.1079, Val F1: 0.9676
Epoch 23, Val loss: 0.1241, Val F1: 0.9643
Epoch 24, Val loss: 0.1266, Val F1: 0.9647
Epoch 25, Val loss: 0.1177, Val F1: 0.9692
[I 2026-06-07 22:28:15,108] Trial 15 pruned. 
Epoch 1, Val loss: 0.3940, Val F1: 0.8643
Epoch 2, Val loss: 0.2298, Val F1: 0.9264
Epoch 3, Val loss: 0.1850, Val F1: 0.9371
Epoch 4, Val loss: 0.1603, Val F1: 0.9476
Epoch 5, Val loss: 0.1708, Val F1: 0.9447
Epoch 6, Val loss: 0.2082, Val F1: 0.9377
Epoch 7, Val loss: 0.1482, Val F1: 0.9513
Epoch 8, Val loss: 0.1666, Val F1: 0.9451
Epoch 9, Val loss: 0.1281, Val F1: 0.9564
Epoch 10, Val loss: 0.1358, Val F1: 0.9550
Epoch 11, Val loss: 0.1160, Val F1: 0.9602
Epoch 12, Val loss: 0.1087, Val F1: 0.9657
Epoch 13, Val loss: 0.1102, Val F1: 0.9646
Epoch 14, Val loss: 0.1390, Val F1: 0.9581
Epoch 15, Val loss: 0.1166, Val F1: 0.9631
Epoch 16, Val loss: 0.1113, Val F1: 0.9650
Epoch 17, Val loss: 0.1323, Val F1: 0.9571
[I 2026-06-07 22:29:08,394] Trial 16 finished with value: 0.965655110312816 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_5', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'single_3', 'n_fc_layers': 4, 'fc_hidden': 512, 'dropout': 0.20859013361951675, 'activation': 'silu', 'lr': 0.00010317190494502504}. Best is trial 11 with value: 0.9724024050639436.
Epoch 1, Val loss: 0.5189, Val F1: 0.8216
Epoch 2, Val loss: 0.3472, Val F1: 0.8825
Epoch 3, Val loss: 0.2614, Val F1: 0.9182
Epoch 4, Val loss: 0.2679, Val F1: 0.9108
Epoch 5, Val loss: 0.2294, Val F1: 0.9304
Epoch 6, Val loss: 0.1983, Val F1: 0.9388
Epoch 7, Val loss: 0.1531, Val F1: 0.9559
Epoch 8, Val loss: 0.1734, Val F1: 0.9447
Epoch 9, Val loss: 0.1463, Val F1: 0.9563
Epoch 10, Val loss: 0.1390, Val F1: 0.9583
Epoch 11, Val loss: 0.1897, Val F1: 0.9448
Epoch 12, Val loss: 0.1576, Val F1: 0.9523
Epoch 13, Val loss: 0.1282, Val F1: 0.9662
Epoch 14, Val loss: 0.1530, Val F1: 0.9600
Epoch 15, Val loss: 0.1383, Val F1: 0.9629
Epoch 16, Val loss: 0.1100, Val F1: 0.9683
Epoch 17, Val loss: 0.1489, Val F1: 0.9581
Epoch 18, Val loss: 0.1335, Val F1: 0.9643
Epoch 19, Val loss: 0.1239, Val F1: 0.9669
Epoch 20, Val loss: 0.1620, Val F1: 0.9558
Epoch 21, Val loss: 0.1138, Val F1: 0.9700
Epoch 22, Val loss: 0.1845, Val F1: 0.9545
Epoch 23, Val loss: 0.1519, Val F1: 0.9617
Epoch 24, Val loss: 0.1302, Val F1: 0.9670
Epoch 25, Val loss: 0.1086, Val F1: 0.9736
Epoch 26, Val loss: 0.1051, Val F1: 0.9741
Epoch 27, Val loss: 0.1252, Val F1: 0.9677
Epoch 28, Val loss: 0.1332, Val F1: 0.9677
Epoch 29, Val loss: 0.1279, Val F1: 0.9702
Epoch 30, Val loss: 0.1158, Val F1: 0.9699
[I 2026-06-07 22:30:39,499] Trial 17 finished with value: 0.9741023329598113 and parameters: {'n_conv_blocks': 3, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_3', 'kernels_block_2': 'multi_3_5_7_9', 'n_fc_layers': 4, 'fc_hidden': 64, 'dropout': 0.2093958283413755, 'activation': 'silu', 'lr': 0.00010753639139646193}. Best is trial 17 with value: 0.9741023329598113.
Epoch 1, Val loss: 0.6592, Val F1: 0.7408
Epoch 2, Val loss: 0.4529, Val F1: 0.8523
Epoch 3, Val loss: 0.3445, Val F1: 0.8909
Epoch 4, Val loss: 0.3575, Val F1: 0.8837
[I 2026-06-07 22:30:51,900] Trial 18 pruned. 
Epoch 1, Val loss: 0.5621, Val F1: 0.7952
Epoch 2, Val loss: 0.3130, Val F1: 0.9039
Epoch 3, Val loss: 0.3000, Val F1: 0.9065
Epoch 4, Val loss: 0.2806, Val F1: 0.9084
Epoch 5, Val loss: 0.2304, Val F1: 0.9237
Epoch 6, Val loss: 0.2224, Val F1: 0.9261
Epoch 7, Val loss: 0.1646, Val F1: 0.9510
Epoch 8, Val loss: 0.1902, Val F1: 0.9444
Epoch 9, Val loss: 0.2056, Val F1: 0.9358
Epoch 10, Val loss: 0.1842, Val F1: 0.9471
Epoch 11, Val loss: 0.1451, Val F1: 0.9545
Epoch 12, Val loss: 0.1299, Val F1: 0.9591
Epoch 13, Val loss: 0.2083, Val F1: 0.9399
Epoch 14, Val loss: 0.1812, Val F1: 0.9496
Epoch 15, Val loss: 0.1294, Val F1: 0.9631
Epoch 16, Val loss: 0.1481, Val F1: 0.9543
Epoch 17, Val loss: 0.1494, Val F1: 0.9598
Epoch 18, Val loss: 0.1742, Val F1: 0.9526
Epoch 19, Val loss: 0.1633, Val F1: 0.9505
Epoch 20, Val loss: 0.1293, Val F1: 0.9600
[I 2026-06-07 22:31:53,046] Trial 19 finished with value: 0.9631415238496593 and parameters: {'n_conv_blocks': 3, 'base_channels': 64, 'kernels_block_0': 'single_3', 'kernels_block_1': 'single_3', 'kernels_block_2': 'multi_3_5_7_9', 'n_fc_layers': 4, 'fc_hidden': 64, 'dropout': 0.24435978001742584, 'activation': 'silu', 'lr': 0.0005089386187063704}. Best is trial 17 with value: 0.9741023329598113.
Epoch 1, Val loss: 0.7652, Val F1: 0.6942
Epoch 2, Val loss: 0.4749, Val F1: 0.8551
[I 2026-06-07 22:31:59,280] Trial 20 pruned. 
Epoch 1, Val loss: 0.4243, Val F1: 0.8651
Epoch 2, Val loss: 0.3145, Val F1: 0.9038
Epoch 3, Val loss: 0.2267, Val F1: 0.9244
Epoch 4, Val loss: 0.2278, Val F1: 0.9268
Epoch 5, Val loss: 0.1583, Val F1: 0.9487
Epoch 6, Val loss: 0.1491, Val F1: 0.9494
Epoch 7, Val loss: 0.1163, Val F1: 0.9636
Epoch 8, Val loss: 0.1069, Val F1: 0.9662
Epoch 9, Val loss: 0.1546, Val F1: 0.9521
Epoch 10, Val loss: 0.3148, Val F1: 0.9100
Epoch 11, Val loss: 0.1338, Val F1: 0.9574
Epoch 12, Val loss: 0.1065, Val F1: 0.9687
Epoch 13, Val loss: 0.0936, Val F1: 0.9727
Epoch 14, Val loss: 0.0996, Val F1: 0.9716
Epoch 15, Val loss: 0.1016, Val F1: 0.9685
Epoch 16, Val loss: 0.1189, Val F1: 0.9654
Epoch 17, Val loss: 0.0953, Val F1: 0.9723
Epoch 18, Val loss: 0.1205, Val F1: 0.9655
[I 2026-06-07 22:32:54,051] Trial 21 finished with value: 0.9727255759069404 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_5', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'multi_3_7', 'n_fc_layers': 3, 'fc_hidden': 128, 'dropout': 0.21265111674081053, 'activation': 'silu', 'lr': 0.0001072582122869823}. Best is trial 17 with value: 0.9741023329598113.
Epoch 1, Val loss: 0.3499, Val F1: 0.8812
Epoch 2, Val loss: 0.2468, Val F1: 0.9179
Epoch 3, Val loss: 0.2423, Val F1: 0.9202
Epoch 4, Val loss: 0.1842, Val F1: 0.9374
Epoch 5, Val loss: 0.1733, Val F1: 0.9438
Epoch 6, Val loss: 0.1271, Val F1: 0.9607
Epoch 7, Val loss: 0.1344, Val F1: 0.9573
Epoch 8, Val loss: 0.1201, Val F1: 0.9621
