=== Job started: Sun May 31 15:09:46 CEST 2026 ===
Node:       rtx6000gpu3
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-31 15:10:55,247] A new study created in memory with name: rgb
Epoch 25, Val loss: 0.7161, Val F1: 0.7866
Epoch 26, Val loss: 0.6714, Val F1: 0.7846
Epoch 27, Val loss: 0.9705, Val F1: 0.6717
Epoch 28, Val loss: 1.0672, Val F1: 0.7333
Epoch 29, Val loss: 1.0273, Val F1: 0.6753
Epoch 30, Val loss: 0.6654, Val F1: 0.7994
[I 2026-05-31 15:14:16,239] Trial 3 finished with value: 0.7994232734467166 and parameters: {'n_conv_blocks': 2, 'base_channels': 128, 'kernels_block_0': 'single_5', 'kernels_block_1': 'multi_3_5', 'n_fc_layers': 7, 'fc_hidden': 64, 'dropout': 0.2720411071769883, 'activation': 'silu', 'lr': 0.0001811357645371057}. Best is trial 2 with value: 0.8947479512509855.
Epoch 1, Val loss: 1.4859, Val F1: 0.2700
Epoch 2, Val loss: 1.2978, Val F1: 0.5088
Epoch 3, Val loss: 1.1905, Val F1: 0.5761
Epoch 4, Val loss: 0.7742, Val F1: 0.6754
Epoch 5, Val loss: 0.6940, Val F1: 0.7102
Epoch 6, Val loss: 0.8049, Val F1: 0.7347
Epoch 7, Val loss: 0.5834, Val F1: 0.7832
Epoch 8, Val loss: 0.5481, Val F1: 0.8028
Epoch 9, Val loss: 0.5819, Val F1: 0.7967
Epoch 10, Val loss: 0.7135, Val F1: 0.7398
Epoch 11, Val loss: 0.4817, Val F1: 0.8282
Epoch 12, Val loss: 0.5022, Val F1: 0.8222
Epoch 13, Val loss: 0.4799, Val F1: 0.8412
Epoch 14, Val loss: 0.6356, Val F1: 0.7992
Epoch 15, Val loss: 0.4059, Val F1: 0.8541
Epoch 16, Val loss: 0.4611, Val F1: 0.8528
Epoch 17, Val loss: 0.4085, Val F1: 0.8613
Epoch 18, Val loss: 0.4171, Val F1: 0.8647
Epoch 19, Val loss: 0.6796, Val F1: 0.7850
Epoch 20, Val loss: 0.3873, Val F1: 0.8716
Epoch 21, Val loss: 0.4187, Val F1: 0.8652
Epoch 22, Val loss: 0.3596, Val F1: 0.8798
Epoch 23, Val loss: 0.3955, Val F1: 0.8724
Epoch 24, Val loss: 0.3594, Val F1: 0.8893
Epoch 25, Val loss: 0.3350, Val F1: 0.8954
Epoch 26, Val loss: 0.3776, Val F1: 0.8881
Epoch 27, Val loss: 0.4260, Val F1: 0.8750
Epoch 28, Val loss: 0.4541, Val F1: 0.8652
Epoch 29, Val loss: 0.4287, Val F1: 0.8714
Epoch 30, Val loss: 0.5008, Val F1: 0.8620
