=== Job started: Sun May 31 15:15:09 CEST 2026 ===
Node:       rtx6000gpu3
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-31 15:15:15,607] A new study created in memory with name: ms
Epoch 4, Val loss: 0.4333, Val F1: 0.8604
Epoch 5, Val loss: 0.4253, Val F1: 0.8711
Epoch 6, Val loss: 0.3189, Val F1: 0.8913
Epoch 7, Val loss: 0.3247, Val F1: 0.9001
Epoch 8, Val loss: 0.2812, Val F1: 0.9174
Epoch 9, Val loss: 0.1865, Val F1: 0.9443
Epoch 10, Val loss: 0.2133, Val F1: 0.9345
Epoch 11, Val loss: 0.1670, Val F1: 0.9480
Epoch 12, Val loss: 0.1837, Val F1: 0.9421
Epoch 13, Val loss: 0.1849, Val F1: 0.9475
Epoch 14, Val loss: 0.1393, Val F1: 0.9628
Epoch 15, Val loss: 0.1484, Val F1: 0.9534
Epoch 16, Val loss: 0.1552, Val F1: 0.9597
Epoch 17, Val loss: 0.1408, Val F1: 0.9578
Epoch 18, Val loss: 0.1287, Val F1: 0.9639
Epoch 19, Val loss: 0.1478, Val F1: 0.9574
Epoch 20, Val loss: 0.1778, Val F1: 0.9571
Epoch 21, Val loss: 0.1329, Val F1: 0.9643
Epoch 22, Val loss: 0.2204, Val F1: 0.9475
Epoch 23, Val loss: 0.1613, Val F1: 0.9578
Epoch 24, Val loss: 0.1940, Val F1: 0.9557
Epoch 25, Val loss: 0.1764, Val F1: 0.9620
Epoch 26, Val loss: 0.1605, Val F1: 0.9612
[I 2026-05-31 15:23:32,780] Trial 3 finished with value: 0.9642786120252798 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_3', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'multi_3_7', 'n_fc_layers': 1, 'fc_hidden': 128, 'dropout': 0.26732001781925224, 'activation': 'silu', 'lr': 0.0064642459081234675}. Best is trial 3 with value: 0.9642786120252798.
Epoch 1, Val loss: 0.8044, Val F1: 0.6116
Epoch 2, Val loss: 0.5024, Val F1: 0.8391
Epoch 3, Val loss: 0.4178, Val F1: 0.8761
Epoch 4, Val loss: 0.4456, Val F1: 0.8631
Epoch 5, Val loss: 0.2749, Val F1: 0.9154
Epoch 6, Val loss: 0.2209, Val F1: 0.9281
Epoch 7, Val loss: 0.2132, Val F1: 0.9347
Epoch 8, Val loss: 0.1809, Val F1: 0.9420
