=== Job started: Wed May 27 01:57:41 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-27 01:57:47,011] A new study created in memory with name: rgb
[I 2026-05-27 02:00:17,709] Trial 4 finished with value: 0.9366598830006755 and parameters: {'n_conv_blocks': 3, 'base_channels': 64, 'fc_hidden': 256, 'dropout': 0.4927255862417762, 'activation': 'gelu', 'lr': 0.00023370137791551152}. Best is trial 4 with value: 0.9366598830006755.
Epoch 1, Val loss: 0.7322, Val F1: 0.7275
Epoch 2, Val loss: 0.5713, Val F1: 0.7803
Epoch 3, Val loss: 0.4528, Val F1: 0.8413
Epoch 4, Val loss: 0.4201, Val F1: 0.8452
Epoch 5, Val loss: 0.3933, Val F1: 0.8548
Epoch 6, Val loss: 0.3627, Val F1: 0.8672
Epoch 7, Val loss: 0.3365, Val F1: 0.8755
Epoch 8, Val loss: 0.3650, Val F1: 0.8687
[I 2026-05-27 02:00:31,877] Trial 5 pruned. 
Epoch 1, Val loss: 1.1089, Val F1: 0.5589
Epoch 2, Val loss: 0.8532, Val F1: 0.6737
Epoch 3, Val loss: 0.8789, Val F1: 0.6980
Epoch 4, Val loss: 4.1850, Val F1: 0.2569
Epoch 5, Val loss: 2.3148, Val F1: 0.4862
Epoch 6, Val loss: 0.9185, Val F1: 0.6770
Epoch 7, Val loss: 0.6885, Val F1: 0.7747
Epoch 8, Val loss: 0.6508, Val F1: 0.7876
[I 2026-05-27 02:00:45,934] Trial 6 pruned. 
Epoch 1, Val loss: 0.7329, Val F1: 0.7243
Epoch 2, Val loss: 0.8141, Val F1: 0.6944
Epoch 3, Val loss: 1.8146, Val F1: 0.5673
Epoch 4, Val loss: 0.8889, Val F1: 0.7325
Epoch 5, Val loss: 1.0529, Val F1: 0.6645
Epoch 6, Val loss: 0.8184, Val F1: 0.7380
Epoch 7, Val loss: 0.3350, Val F1: 0.8774
Epoch 8, Val loss: 0.7418, Val F1: 0.7651
[I 2026-05-27 02:01:00,281] Trial 7 pruned. 
Epoch 1, Val loss: 2.2180, Val F1: 0.0724
[I 2026-05-27 02:01:02,122] Trial 8 pruned. 
Epoch 1, Val loss: 1.2746, Val F1: 0.4401
Epoch 2, Val loss: 1.1892, Val F1: 0.5229
[I 2026-05-27 02:01:05,868] Trial 9 pruned. 
Epoch 1, Val loss: 0.8136, Val F1: 0.7012
Epoch 2, Val loss: 0.8821, Val F1: 0.6837
Epoch 3, Val loss: 0.6901, Val F1: 0.7569
Epoch 4, Val loss: 0.6085, Val F1: 0.7894
