=== Job started: Sun Jun  7 22:07:59 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
N trials:   100
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-06-07 22:08:17,202] A new study created in memory with name: rgb
Epoch 14, Val loss: 1.6080, Val F1: 0.6299
Epoch 15, Val loss: 0.5353, Val F1: 0.8416
Epoch 16, Val loss: 1.4122, Val F1: 0.6797
Epoch 17, Val loss: 0.3507, Val F1: 0.9019
Epoch 18, Val loss: 0.3450, Val F1: 0.8909
Epoch 19, Val loss: 0.3060, Val F1: 0.9243
Epoch 20, Val loss: 0.3194, Val F1: 0.9024
Epoch 21, Val loss: 0.6845, Val F1: 0.8538
Epoch 22, Val loss: 4.5689, Val F1: 0.5936
Epoch 23, Val loss: 0.4833, Val F1: 0.8939
Epoch 24, Val loss: 0.4929, Val F1: 0.8562
[I 2026-06-07 22:11:34,306] Trial 3 finished with value: 0.9242633348592925 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'multi_3_7', 'kernels_block_1': 'multi_3_5', 'kernels_block_2': 'single_5', 'kernels_block_3': 'multi_3_5_7_9', 'n_fc_layers': 1, 'fc_hidden': 128, 'dropout': 0.22091088287596597, 'activation': 'gelu', 'lr': 0.0058646437367304355}. Best is trial 3 with value: 0.9242633348592925.
Epoch 1, Val loss: 0.9837, Val F1: 0.6301
Epoch 2, Val loss: 1.2727, Val F1: 0.6153
Epoch 3, Val loss: 0.7276, Val F1: 0.7083
Epoch 4, Val loss: 0.7104, Val F1: 0.7540
Epoch 5, Val loss: 0.7205, Val F1: 0.7147
Epoch 6, Val loss: 0.3808, Val F1: 0.8587
Epoch 7, Val loss: 0.8635, Val F1: 0.7539
Epoch 8, Val loss: 1.8481, Val F1: 0.6025
Epoch 9, Val loss: 1.8656, Val F1: 0.5766
Epoch 10, Val loss: 0.4110, Val F1: 0.8520
Epoch 11, Val loss: 0.3169, Val F1: 0.8910
Epoch 12, Val loss: 0.3258, Val F1: 0.8775
Epoch 13, Val loss: 1.4227, Val F1: 0.6415
Epoch 14, Val loss: 0.4361, Val F1: 0.8533
Epoch 15, Val loss: 0.3335, Val F1: 0.8929
Epoch 16, Val loss: 0.6141, Val F1: 0.8282
Epoch 17, Val loss: 0.5115, Val F1: 0.8490
Epoch 18, Val loss: 0.7289, Val F1: 0.8377
Epoch 19, Val loss: 0.5851, Val F1: 0.8193
Epoch 20, Val loss: 0.2544, Val F1: 0.9213
Epoch 21, Val loss: 0.3283, Val F1: 0.8901
Epoch 22, Val loss: 0.5673, Val F1: 0.8445
Epoch 23, Val loss: 0.4247, Val F1: 0.8882
Epoch 24, Val loss: 0.3003, Val F1: 0.9045
Epoch 25, Val loss: 0.2399, Val F1: 0.9323
Epoch 26, Val loss: 0.6444, Val F1: 0.8315
Epoch 27, Val loss: 0.7121, Val F1: 0.8135
Epoch 28, Val loss: 0.5983, Val F1: 0.8524
Epoch 29, Val loss: 0.2855, Val F1: 0.9220
Epoch 30, Val loss: 0.4673, Val F1: 0.8597
