=== Job started: Wed May 27 02:04:47 CEST 2026 ===
Node:       rtx6000gpu3
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-27 02:04:53,725] A new study created in memory with name: ms
Epoch 23, Val loss: 0.1811, Val F1: 0.9555
Epoch 24, Val loss: 0.1365, Val F1: 0.9655
Epoch 25, Val loss: 0.1345, Val F1: 0.9656
Epoch 26, Val loss: 0.1288, Val F1: 0.9657
[I 2026-05-27 02:09:01,841] Trial 3 finished with value: 0.9690053894006162 and parameters: {'n_conv_blocks': 3, 'base_channels': 32, 'fc_hidden': 256, 'dropout': 0.27591794939999603, 'activation': 'gelu', 'lr': 0.0001652060574819327}. Best is trial 2 with value: 0.9725691198533989.
Epoch 1, Val loss: 0.4855, Val F1: 0.8272
Epoch 2, Val loss: 0.3533, Val F1: 0.8707
Epoch 3, Val loss: 0.3460, Val F1: 0.8848
Epoch 4, Val loss: 0.2515, Val F1: 0.9161
Epoch 5, Val loss: 0.2124, Val F1: 0.9317
Epoch 6, Val loss: 0.2226, Val F1: 0.9318
Epoch 7, Val loss: 0.2644, Val F1: 0.9136
Epoch 8, Val loss: 0.2042, Val F1: 0.9359
Epoch 9, Val loss: 0.1851, Val F1: 0.9391
Epoch 10, Val loss: 0.1976, Val F1: 0.9403
Epoch 11, Val loss: 0.2497, Val F1: 0.9299
Epoch 12, Val loss: 0.2321, Val F1: 0.9253
Epoch 13, Val loss: 0.2174, Val F1: 0.9390
Epoch 14, Val loss: 0.3043, Val F1: 0.9219
Epoch 15, Val loss: 0.2245, Val F1: 0.9365
[I 2026-05-27 02:09:40,215] Trial 4 finished with value: 0.9403282341140826 and parameters: {'n_conv_blocks': 2, 'base_channels': 16, 'fc_hidden': 128, 'dropout': 0.2747120306699876, 'activation': 'gelu', 'lr': 0.0017714531231434534}. Best is trial 2 with value: 0.9725691198533989.
Epoch 1, Val loss: 0.4391, Val F1: 0.8398
[I 2026-05-27 02:09:42,799] Trial 5 pruned. 
Epoch 1, Val loss: 0.4153, Val F1: 0.8595
Epoch 2, Val loss: 0.3299, Val F1: 0.8774
[I 2026-05-27 02:09:47,934] Trial 6 pruned. 
Epoch 1, Val loss: 0.5355, Val F1: 0.8257
[I 2026-05-27 02:09:50,495] Trial 7 pruned. 
Epoch 1, Val loss: 0.4475, Val F1: 0.8581
[I 2026-05-27 02:09:53,244] Trial 8 pruned. 
Epoch 1, Val loss: 1.2011, Val F1: 0.5095
[I 2026-05-27 02:09:55,777] Trial 9 pruned. 
Epoch 1, Val loss: 0.2724, Val F1: 0.9054
Epoch 2, Val loss: 0.2107, Val F1: 0.9304
Epoch 3, Val loss: 0.1547, Val F1: 0.9488
Epoch 4, Val loss: 0.1345, Val F1: 0.9565
Epoch 5, Val loss: 0.1307, Val F1: 0.9581
Epoch 6, Val loss: 0.1338, Val F1: 0.9577
Epoch 7, Val loss: 0.1208, Val F1: 0.9608
Epoch 8, Val loss: 0.1105, Val F1: 0.9641
Epoch 9, Val loss: 0.0861, Val F1: 0.9743
Epoch 10, Val loss: 0.1004, Val F1: 0.9697
Epoch 11, Val loss: 0.1181, Val F1: 0.9648
Epoch 12, Val loss: 0.0891, Val F1: 0.9732
Epoch 13, Val loss: 0.1006, Val F1: 0.9705
Epoch 14, Val loss: 0.1004, Val F1: 0.9714
[I 2026-05-27 02:10:31,629] Trial 10 finished with value: 0.974348424925379 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'fc_hidden': 64, 'dropout': 0.37632899338807235, 'activation': 'relu', 'lr': 0.0001104292255091986}. Best is trial 10 with value: 0.974348424925379.
Epoch 1, Val loss: 0.2520, Val F1: 0.9139
Epoch 2, Val loss: 0.2288, Val F1: 0.9204
