=== Job started: Thu May 28 16:56:36 CEST 2026 ===
Node:       rtx6000gpu1
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-28 16:59:16,043] A new study created in memory with name: ms
Epoch 22, Val loss: 0.1335, Val F1: 0.9558
Epoch 23, Val loss: 0.1115, Val F1: 0.9672
Epoch 24, Val loss: 0.1578, Val F1: 0.9566
Epoch 25, Val loss: 0.1775, Val F1: 0.9561
Epoch 26, Val loss: 0.1188, Val F1: 0.9633
Epoch 27, Val loss: 0.1160, Val F1: 0.9648
Epoch 28, Val loss: 0.1084, Val F1: 0.9693
Epoch 29, Val loss: 0.1293, Val F1: 0.9628
Epoch 30, Val loss: 0.0973, Val F1: 0.9694
[I 2026-05-28 17:04:39,915] Trial 4 finished with value: 0.9693550123616894 and parameters: {'n_conv_blocks': 4, 'base_channels': 16, 'kernels': 'single_5', 'n_fc_layers': 2, 'fc_hidden': 64, 'dropout': 0.2622525978256445, 'activation': 'relu', 'lr': 0.0009734724733755704}. Best is trial 0 with value: 0.970024514806067.
Epoch 1, Val loss: 0.6932, Val F1: 0.7516
[I 2026-05-28 17:04:42,827] Trial 5 pruned. 
Epoch 1, Val loss: 0.3628, Val F1: 0.8713
Epoch 2, Val loss: 0.2957, Val F1: 0.8981
Epoch 3, Val loss: 0.2370, Val F1: 0.9206
Epoch 4, Val loss: 0.2140, Val F1: 0.9278
Epoch 5, Val loss: 0.2168, Val F1: 0.9241
Epoch 6, Val loss: 0.2000, Val F1: 0.9370
Epoch 7, Val loss: 0.1838, Val F1: 0.9402
Epoch 8, Val loss: 0.2276, Val F1: 0.9271
Epoch 9, Val loss: 0.2124, Val F1: 0.9319
[I 2026-05-28 17:05:08,170] Trial 6 pruned. 
Epoch 1, Val loss: 0.5374, Val F1: 0.8006
[I 2026-05-28 17:05:11,095] Trial 7 pruned. 
Epoch 1, Val loss: 0.4056, Val F1: 0.8663
Epoch 2, Val loss: 0.2675, Val F1: 0.9039
Epoch 3, Val loss: 0.2644, Val F1: 0.9059
Epoch 4, Val loss: 0.2281, Val F1: 0.9228
Epoch 5, Val loss: 0.2323, Val F1: 0.9232
Epoch 6, Val loss: 0.1902, Val F1: 0.9371
Epoch 7, Val loss: 0.1751, Val F1: 0.9435
Epoch 8, Val loss: 0.1887, Val F1: 0.9374
Epoch 9, Val loss: 0.2119, Val F1: 0.9354
Epoch 10, Val loss: 0.1899, Val F1: 0.9396
[I 2026-05-28 17:05:40,441] Trial 8 pruned. 
Epoch 1, Val loss: 0.7763, Val F1: 0.7512
[I 2026-05-28 17:05:43,720] Trial 9 pruned. 
Epoch 1, Val loss: 0.4162, Val F1: 0.8728
Epoch 2, Val loss: 0.3274, Val F1: 0.8914
Epoch 3, Val loss: 0.2096, Val F1: 0.9380
Epoch 4, Val loss: 0.2223, Val F1: 0.9250
Epoch 5, Val loss: 0.1570, Val F1: 0.9462
Epoch 6, Val loss: 0.1814, Val F1: 0.9387
Epoch 7, Val loss: 0.1861, Val F1: 0.9360
Epoch 8, Val loss: 0.1107, Val F1: 0.9637
Epoch 9, Val loss: 0.1576, Val F1: 0.9533
Epoch 10, Val loss: 0.1418, Val F1: 0.9545
Epoch 11, Val loss: 0.1756, Val F1: 0.9471
Epoch 12, Val loss: 0.1356, Val F1: 0.9550
Epoch 13, Val loss: 0.1125, Val F1: 0.9654
Epoch 14, Val loss: 0.1490, Val F1: 0.9505
Epoch 15, Val loss: 0.1338, Val F1: 0.9595
Epoch 16, Val loss: 0.0828, Val F1: 0.9746
Epoch 17, Val loss: 0.0826, Val F1: 0.9744
Epoch 18, Val loss: 0.1240, Val F1: 0.9606
Epoch 19, Val loss: 0.1324, Val F1: 0.9617
Epoch 20, Val loss: 0.0991, Val F1: 0.9741
Epoch 21, Val loss: 0.0989, Val F1: 0.9711
